,Show_ID,Type,Title,Country,Release_Year,Year_Added,Month_Added,Rating,Duration,Genre
0,s1,Movie,Dick Johnson Is Dead,United States,2020,2021,9,PG-13,90.0,Documentaries
1,s2,TV Show,Blood & Water,South Africa,2021,2021,9,TV-MA,2.0,International TV Shows
2,s2,TV Show,Blood & Water,South Africa,2021,2021,9,TV-MA,2.0,TV Dramas
3,s2,TV Show,Blood & Water,South Africa,2021,2021,9,TV-MA,2.0,TV Mysteries
4,s3,TV Show,Ganglands,Unknown,2021,2021,9,TV-MA,1.0,Crime TV Shows
5,s3,TV Show,Ganglands,Unknown,2021,2021,9,TV-MA,1.0,International TV Shows
6,s3,TV Show,Ganglands,Unknown,2021,2021,9,TV-MA,1.0,TV Action & Adventure
7,s4,TV Show,Jailbirds New Orleans,Unknown,2021,2021,9,TV-MA,1.0,Docuseries
8,s4,TV Show,Jailbirds New Orleans,Unknown,2021,2021,9,TV-MA,1.0,Reality TV
9,s5,TV Show,Kota Factory,India,2021,2021,9,TV-MA,2.0,International TV Shows
10,s5,TV Show,Kota Factory,India,2021,2021,9,TV-MA,2.0,Romantic TV Shows
11,s5,TV Show,Kota Factory,India,2021,2021,9,TV-MA,2.0,TV Comedies
12,s6,TV Show,Midnight Mass,Unknown,2021,2021,9,TV-MA,1.0,TV Dramas
13,s6,TV Show,Midnight Mass,Unknown,2021,2021,9,TV-MA,1.0,TV Horror
14,s6,TV Show,Midnight Mass,Unknown,2021,2021,9,TV-MA,1.0,TV Mysteries
15,s7,Movie,My Little Pony: A New Generation,Unknown,2021,2021,9,PG,91.0,Children & Family Movies
16,s8,Movie,Sankofa,United States,1993,2021,9,TV-MA,125.0,Dramas
17,s8,Movie,Sankofa,Ghana,1993,2021,9,TV-MA,125.0,Dramas
18,s8,Movie,Sankofa,Burkina Faso,1993,2021,9,TV-MA,125.0,Dramas
19,s8,Movie,Sankofa,United Kingdom,1993,2021,9,TV-MA,125.0,Dramas
20,s8,Movie,Sankofa,Germany,1993,2021,9,TV-MA,125.0,Dramas
21,s8,Movie,Sankofa,Ethiopia,1993,2021,9,TV-MA,125.0,Dramas
22,s8,Movie,Sankofa,United States,1993,2021,9,TV-MA,125.0,Independent Movies
23,s8,Movie,Sankofa,Ghana,1993,2021,9,TV-MA,125.0,Independent Movies
24,s8,Movie,Sankofa,Burkina Faso,1993,2021,9,TV-MA,125.0,Independent Movies
25,s8,Movie,Sankofa,United Kingdom,1993,2021,9,TV-MA,125.0,Independent Movies
26,s8,Movie,Sankofa,Germany,1993,2021,9,TV-MA,125.0,Independent Movies
27,s8,Movie,Sankofa,Ethiopia,1993,2021,9,TV-MA,125.0,Independent Movies
28,s8,Movie,Sankofa,United States,1993,2021,9,TV-MA,125.0,International Movies
29,s8,Movie,Sankofa,Ghana,1993,2021,9,TV-MA,125.0,International Movies
30,s8,Movie,Sankofa,Burkina Faso,1993,2021,9,TV-MA,125.0,International Movies
31,s8,Movie,Sankofa,United Kingdom,1993,2021,9,TV-MA,125.0,International Movies
32,s8,Movie,Sankofa,Germany,1993,2021,9,TV-MA,125.0,International Movies
33,s8,Movie,Sankofa,Ethiopia,1993,2021,9,TV-MA,125.0,International Movies
34,s9,TV Show,The Great British Baking Show,United Kingdom,2021,2021,9,TV-14,9.0,British TV Shows
35,s9,TV Show,The Great British Baking Show,United Kingdom,2021,2021,9,TV-14,9.0,Reality TV
36,s10,Movie,The Starling,United States,2021,2021,9,PG-13,104.0,Comedies
37,s10,Movie,The Starling,United States,2021,2021,9,PG-13,104.0,Dramas
38,s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown,2021,2021,9,TV-MA,1.0,Crime TV Shows
39,s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown,2021,2021,9,TV-MA,1.0,Docuseries
40,s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown,2021,2021,9,TV-MA,1.0,International TV Shows
41,s12,TV Show,Bangkok Breaking,Unknown,2021,2021,9,TV-MA,1.0,Crime TV Shows
42,s12,TV Show,Bangkok Breaking,Unknown,2021,2021,9,TV-MA,1.0,International TV Shows
43,s12,TV Show,Bangkok Breaking,Unknown,2021,2021,9,TV-MA,1.0,TV Action & Adventure
44,s13,Movie,Je Suis Karl,Germany,2021,2021,9,TV-MA,127.0,Dramas
45,s13,Movie,Je Suis Karl,Czech Republic,2021,2021,9,TV-MA,127.0,Dramas
46,s13,Movie,Je Suis Karl,Germany,2021,2021,9,TV-MA,127.0,International Movies
47,s13,Movie,Je Suis Karl,Czech Republic,2021,2021,9,TV-MA,127.0,International Movies
48,s14,Movie,Confessions of an Invisible Girl,Unknown,2021,2021,9,TV-PG,91.0,Children & Family Movies
49,s14,Movie,Confessions of an Invisible Girl,Unknown,2021,2021,9,TV-PG,91.0,Comedies
50,s15,TV Show,Crime Stories: India Detectives,Unknown,2021,2021,9,TV-MA,1.0,British TV Shows
51,s15,TV Show,Crime Stories: India Detectives,Unknown,2021,2021,9,TV-MA,1.0,Crime TV Shows
52,s15,TV Show,Crime Stories: India Detectives,Unknown,2021,2021,9,TV-MA,1.0,Docuseries
53,s16,TV Show,Dear White People,United States,2021,2021,9,TV-MA,4.0,TV Comedies
54,s16,TV Show,Dear White People,United States,2021,2021,9,TV-MA,4.0,TV Dramas
55,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Unknown,2020,2021,9,TV-MA,67.0,Documentaries
56,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Unknown,2020,2021,9,TV-MA,67.0,International Movies
